"Time","Requests per minute"
2022-08-19 17:32:45,13.09090909090909
2022-08-19 17:33:00,12
2022-08-19 17:33:15,12
2022-08-19 17:33:30,12
2022-08-19 17:33:45,13.09090909090909
2022-08-19 17:34:00,13.09090909090909
2022-08-19 17:34:15,13.09090909090909
2022-08-19 17:34:30,13.091147111765668
2022-08-19 17:34:45,12
2022-08-19 17:35:00,12
2022-08-19 17:35:15,12
2022-08-19 17:35:30,12
2022-08-19 17:35:45,13.09090909090909
2022-08-19 17:36:00,13.09090909090909
2022-08-19 17:36:15,13.09090909090909
2022-08-19 17:36:30,12
2022-08-19 17:36:45,12
2022-08-19 17:37:00,12
2022-08-19 17:37:15,12
2022-08-19 17:37:30,13.09090909090909
2022-08-19 17:37:45,13.09090909090909
2022-08-19 17:38:00,13.09090909090909
2022-08-19 17:38:15,13.09090909090909
2022-08-19 17:38:30,12.000218185785197
2022-08-19 17:38:45,12
2022-08-19 17:39:00,12
2022-08-19 17:39:15,13.09090909090909
2022-08-19 17:39:30,13.09090909090909
2022-08-19 17:39:45,13.09090909090909
2022-08-19 17:40:00,13.09090909090909
2022-08-19 17:40:15,11.999781822148687
2022-08-19 17:40:30,12
2022-08-19 17:40:45,12
2022-08-19 17:41:00,12
2022-08-19 17:41:15,13.09090909090909
2022-08-19 17:41:30,13.09090909090909
2022-08-19 17:41:45,13.09090909090909
2022-08-19 17:42:00,12
2022-08-19 17:42:15,12
2022-08-19 17:42:30,12
2022-08-19 17:42:45,12
2022-08-19 17:43:00,12
2022-08-19 17:43:15,12
2022-08-19 17:43:30,12
2022-08-19 17:43:45,12
2022-08-19 17:44:00,12
2022-08-19 17:44:15,12
2022-08-19 17:44:30,13.09090909090909
2022-08-19 17:44:45,14.18181818181818
2022-08-19 17:45:00,15.272727272727272
2022-08-19 17:45:15,16.363338848384576
2022-08-19 17:45:30,16.363636363636363
2022-08-19 17:45:45,15.272727272727272
2022-08-19 17:46:00,15.272727272727272
2022-08-19 17:46:15,15.272727272727272
2022-08-19 17:46:30,15.272727272727272
2022-08-19 17:46:45,15.272727272727272
2022-08-19 17:47:00,14.18181818181818
2022-08-19 17:47:15,15.272727272727272
2022-08-19 17:47:30,15.272727272727272
2022-08-19 17:47:45,14.18181818181818
2022-08-19 17:48:00,15.272727272727272
2022-08-19 17:48:15,14.18181818181818
2022-08-19 17:48:30,14.18181818181818
2022-08-19 17:48:45,15.272727272727272
2022-08-19 17:49:00,14.18181818181818
2022-08-19 17:49:15,14.18181818181818
2022-08-19 17:49:30,14.18181818181818
2022-08-19 17:49:45,14.18181818181818
2022-08-19 17:50:00,14.18181818181818
2022-08-19 17:50:15,14.18181818181818
2022-08-19 17:50:30,14.18181818181818
2022-08-19 17:50:45,14.18181818181818
2022-08-19 17:51:00,14.18181818181818
2022-08-19 17:51:15,14.18181818181818
2022-08-19 17:51:30,14.18181818181818
2022-08-19 17:51:45,14.18181818181818
2022-08-19 17:52:00,14.18181818181818
2022-08-19 17:52:15,13.09090909090909
2022-08-19 17:52:30,14.18181818181818
