3103,139
3602,249
4180,359
4616,469
5258,577
5613,687
6151,796
6657,905
7065,1014
7778,1123
8147,1233
8936,1344
9382,1455
9946,1565
10448,1675
11007,1785
11504,1896
12091,2006
12708,2116
13180,2226
13854,2336
14220,2447
14920,2558
15327,2668
15705,2778
16637,2889
16957,3000
17765,3110
18110,3221
18673,3331
19166,3442
19677,3550
20390,3660
20944,3771
21508,3882
21983,3992
22669,4102
22912,4212
23900,4322
24148,4432
25102,4543
25313,4653
25904,4764
26506,4874
26996,4983
27587,5094
28142,5203
28779,5313
29076,5424
29899,5533
30167,5644
31287,5754
31337,5865
32037,5975
32528,6085
33106,6196
33707,6307
34210,6417
34808,6528
35237,6638
36085,6749
36352,6858
37175,6968
37419,7079
38527,7189
38571,7300
39165,7410
39821,7520
40297,7630
40976,7740
41380,7850
42125,7960
42571,8071
43503,8181
43658,8291
44503,8402
44788,8512
45937,8622
45970,8732
46798,8843
47016,8953
47616,9063
48329,9173
48697,9283
49465,9394
49671,9504
50506,9614
50810,9724
51821,9835
52301,9944
53070,10054
53515,10164
54074,10274
