139,3713
249,4300
359,4986
469,5540
577,6261
686,6747
795,7325
904,7994
1013,8531
1123,9254
1234,9803
1345,10623
1455,11247
1565,11964
1675,12498
1786,13129
1896,13728
2005,14655
2115,15282
2225,15821
2336,16546
2447,17089
2557,17701
2667,18452
2778,19005
2889,19855
2999,20522
3110,21060
3220,21749
3331,22314
3439,22980
3549,23734
3660,24345
3771,24928
3881,25676
3991,26223
4101,27166
4211,27636
4321,28199
4432,29058
4542,29576
4653,30380
4763,30927
4873,31601
4984,32249
5093,32958
5203,33501
5314,34285
5424,34856
5535,35881
5645,36352
5756,36645
5866,37318
5976,38095
6086,38782
6197,39492
6307,40063
6418,40598
6527,41372
6638,41975
6748,42767
6858,43455
6969,43916
7079,44702
7190,45168
7300,45993
7409,46520
7519,47255
7629,48088
7739,48610
7850,49366
7960,50477
8071,50637
8182,51253
8292,51978
8402,52697
8511,53134
8622,55040
8732,54475
8842,55182
8952,55761
9062,56395
9173,59778
9283,58283
9392,58435
9502,59209
9613,59806
9722,60699
9832,61538
9942,62704
10052,63347
10162,64111
10272,64633
10382,65143
10493,65621
10603,66865
10714,67201
10825,67696
10933,68052
11044,69053
11155,69819
11265,70743
11376,70864
11488,71828
11599,72982
11710,73015
11822,74260
11932,74543
12044,75250
12155,75583
12267,76739
12376,77240
12488,78389
12600,78854
12711,79481
12822,80154
12934,81477
13045,82736
13156,82637
13266,83126
13376,83425
13487,84319
13599,84898
13710,85690
13820,86616
13931,86833
14043,87360
14154,88175
14266,89407
14377,89562
14489,90142
14600,91097
14712,91892
14823,92236
14934,93713
15046,93739
15157,94332
15269,94732
15380,95872
15492,97183
15604,96966
15715,97719
15826,98560
15937,99204
16048,99869
16159,100541
16270,101358
16381,102166
16492,102721
16602,103057
16712,104516
16823,104404
16935,105368
17046,106041
17157,106498
17267,107311
17379,109076
17491,109321
17603,109312
17715,109932
17825,110553
17937,112461
18047,111854
18158,112826
18266,113346
18378,113976
18486,115122
18597,115777
18709,116217
